epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,530.551,0.71563,0.62988,1.03634,0.99264,0.96667,0.98259,0.85483,0.54404,0.35541,0.93414,0.000424187,0.000424187,0.000424187
43,543.39,0.71542,0.62665,1.03354,0.98987,0.97207,0.98257,0.86104,0.53487,0.34946,0.93451,0.000417119,0.000417119,0.000417119
44,555.978,0.70121,0.61552,1.02809,0.99413,0.96541,0.98167,0.86238,0.52459,0.35085,0.93073,0.00041005,0.00041005,0.00041005
45,568.873,0.70335,0.60926,1.02755,0.98946,0.96971,0.98294,0.86525,0.51514,0.34972,0.92464,0.000402982,0.000402982,0.000402982
46,581.399,0.70268,0.60648,1.02885,0.996,0.96712,0.98234,0.85165,0.55454,0.3506,0.94598,0.000395913,0.000395913,0.000395913
47,593.696,0.73767,0.61735,1.04362,0.99286,0.96707,0.98266,0.85746,0.53465,0.34812,0.9301,0.000388844,0.000388844,0.000388844
48,605.96,0.69172,0.60809,1.02484,0.99604,0.9672,0.98372,0.86703,0.50765,0.33302,0.91985,0.000381776,0.000381776,0.000381776
49,618.28,0.6788,0.5858,1.01246,0.9918,0.96802,0.98285,0.86001,0.52665,0.3379,0.92669,0.000374707,0.000374707,0.000374707
50,630.27,0.6986,0.60597,1.02745,0.98823,0.96956,0.98249,0.85962,0.53166,0.34716,0.9289,0.000367639,0.000367639,0.000367639
51,642.984,0.68817,0.59754,1.01942,0.99221,0.96997,0.98386,0.86232,0.5177,0.34676,0.93044,0.00036057,0.00036057,0.00036057
52,655.23,0.69059,0.60206,1.02384,0.99455,0.96744,0.98299,0.86502,0.52374,0.33218,0.92768,0.000353501,0.000353501,0.000353501
53,667.675,0.69289,0.59889,1.02226,0.99046,0.96989,0.98192,0.86257,0.51456,0.34014,0.9242,0.000346433,0.000346433,0.000346433
54,679.673,0.68698,0.59247,1.02104,0.99244,0.97417,0.98294,0.86727,0.5017,0.32483,0.91354,0.000339364,0.000339364,0.000339364
55,691.965,0.66906,0.58063,1.01105,0.98997,0.97091,0.98292,0.8675,0.52212,0.32782,0.92971,0.000332296,0.000332296,0.000332296
56,704.509,0.67274,0.58355,1.01183,0.99112,0.96782,0.98216,0.86996,0.50214,0.33284,0.91525,0.000325227,0.000325227,0.000325227
57,716.825,0.66966,0.58707,1.01509,0.99331,0.96634,0.98285,0.86591,0.51104,0.32469,0.92301,0.000318158,0.000318158,0.000318158
58,728.801,0.65656,0.57921,1.00869,0.99156,0.9708,0.98443,0.87666,0.48912,0.31905,0.90777,0.00031109,0.00031109,0.00031109
59,741.179,0.66643,0.58183,1.01309,0.99255,0.96859,0.98154,0.8681,0.49767,0.32862,0.91369,0.000304021,0.000304021,0.000304021
60,753.195,0.66104,0.57668,1.00625,0.98993,0.97032,0.98267,0.87628,0.48637,0.31679,0.91217,0.000296953,0.000296953,0.000296953
61,766.203,0.64983,0.56288,1.0057,0.99169,0.96985,0.98162,0.87292,0.48826,0.31995,0.90797,0.000289884,0.000289884,0.000289884
62,778.876,0.6584,0.5728,1.01221,0.99463,0.96745,0.98304,0.8735,0.49474,0.31856,0.91199,0.000282815,0.000282815,0.000282815
63,791.393,0.6476,0.55441,0.9981,0.99549,0.96844,0.98293,0.87645,0.48369,0.30885,0.90655,0.000275747,0.000275747,0.000275747
64,803.754,0.64287,0.55696,0.99943,0.99519,0.96848,0.9829,0.87179,0.4915,0.309,0.913,0.000268678,0.000268678,0.000268678
65,816.348,0.63876,0.55661,0.99873,0.98888,0.97313,0.98383,0.88294,0.47224,0.30495,0.90271,0.00026161,0.00026161,0.00026161
66,829.418,0.63803,0.54995,0.99684,0.98864,0.96924,0.98296,0.87704,0.47767,0.31108,0.90229,0.000254541,0.000254541,0.000254541
67,841.911,0.65261,0.56842,1.0084,0.99243,0.96812,0.98269,0.87233,0.4923,0.31167,0.90957,0.000247472,0.000247472,0.000247472
68,854.903,0.63593,0.55,0.9971,0.99221,0.96897,0.98321,0.88148,0.47389,0.30432,0.90256,0.000240404,0.000240404,0.000240404
69,867.821,0.64007,0.5485,0.99523,0.99088,0.97416,0.9841,0.88161,0.47183,0.29951,0.90078,0.000233335,0.000233335,0.000233335
70,880.714,0.62791,0.54371,0.99016,0.99264,0.96748,0.98227,0.87798,0.47746,0.3037,0.90493,0.000226267,0.000226267,0.000226267
71,893.754,0.63479,0.54366,0.99719,0.99105,0.96818,0.9829,0.88429,0.46637,0.30017,0.90005,0.000219198,0.000219198,0.000219198
72,905.984,0.6187,0.53232,0.98726,0.9852,0.97319,0.98255,0.87153,0.49565,0.31399,0.91895,0.000212129,0.000212129,0.000212129
73,917.996,0.62228,0.54027,0.98366,0.99354,0.96737,0.9836,0.88573,0.45822,0.29464,0.89494,0.000205061,0.000205061,0.000205061
74,930.346,0.61188,0.52651,0.98659,0.98856,0.9702,0.9826,0.87642,0.48294,0.30511,0.90672,0.000197992,0.000197992,0.000197992
75,942.279,0.61438,0.53474,0.98351,0.99128,0.96928,0.98336,0.88494,0.45777,0.29463,0.89371,0.000190924,0.000190924,0.000190924
76,954.419,0.62054,0.5376,0.98484,0.99315,0.97088,0.98335,0.88369,0.46576,0.29495,0.8966,0.000183855,0.000183855,0.000183855
77,966.63,0.60603,0.5256,0.98223,0.99351,0.96758,0.9822,0.88635,0.45963,0.28901,0.8968,0.000176786,0.000176786,0.000176786
78,978.747,0.60319,0.51999,0.97832,0.99507,0.96571,0.98243,0.88477,0.46178,0.29298,0.89697,0.000169718,0.000169718,0.000169718
79,990.756,0.61206,0.52361,0.98023,0.99122,0.97002,0.98393,0.88898,0.45408,0.29122,0.89471,0.000162649,0.000162649,0.000162649
80,1002.71,0.60797,0.53176,0.98363,0.99327,0.97216,0.98297,0.8905,0.45414,0.29403,0.89111,0.000155581,0.000155581,0.000155581
81,1014.45,0.60818,0.52752,0.98223,0.99413,0.97165,0.98407,0.88993,0.44968,0.28895,0.89058,0.000148512,0.000148512,0.000148512
82,1026.49,0.61176,0.52762,0.98379,0.99302,0.97195,0.98325,0.88923,0.45946,0.29074,0.89357,0.000141443,0.000141443,0.000141443
83,1038.52,0.60204,0.52941,0.97801,0.99334,0.97169,0.98394,0.89236,0.44604,0.28364,0.88912,0.000134375,0.000134375,0.000134375
84,1050.76,0.58795,0.51713,0.97749,0.9959,0.96831,0.98377,0.89226,0.44889,0.28381,0.89028,0.000127306,0.000127306,0.000127306
85,1063,0.59287,0.52021,0.97891,0.99121,0.97194,0.98328,0.89227,0.43952,0.28064,0.88604,0.000120238,0.000120238,0.000120238
86,1075.15,0.58801,0.50733,0.97422,0.99303,0.97332,0.98404,0.89426,0.44447,0.28103,0.88645,0.000113169,0.000113169,0.000113169
87,1087.37,0.59682,0.51635,0.97933,0.99567,0.96836,0.98296,0.88732,0.45232,0.28329,0.8928,0.0001061,0.0001061,0.0001061
88,1099.72,0.5891,0.51704,0.97316,0.99646,0.96647,0.98352,0.88813,0.45176,0.28193,0.8928,9.90318e-05,9.90318e-05,9.90318e-05
